Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
2.897255591,-0.02404585,-0.062364113
2.89774392,-0.037014793,-0.086699727
2.898232249,-0.048509628,-0.102999674
2.898720578,-0.057265778,-0.109787278
2.899208907,-0.066404102,-0.105383838
2.899697236,-0.073864618,-0.092851041
2.900185565,-0.078398413,-0.076352486
2.900673894,-0.08111379,-0.058279046
2.901162223,-0.08087149,-0.045081187
2.901650552,-0.079377232,-0.045816363
2.902138881,-0.073176823,-0.056056116
2.90262721,-0.060674503,-0.059782054
2.903115539,-0.050793162,-0.054820184
2.903603868,-0.046033589,-0.049192472
2.904092197,-0.036689701,-0.035631072
2.904580525,-0.016742644,-0.004689103
2.905068854,0.003252855,0.029791345
2.905557183,0.015710724,0.048168096
2.906045512,0.029885499,0.051166433
2.906533841,0.046865874,0.055349277
2.90702217,0.059174615,0.072636844
2.907510499,0.068820354,0.094555236
2.907998828,0.077022202,0.104156251
2.908487157,0.080268929,0.099758032
2.908975486,0.080386929,0.091073005
2.909463815,0.080488858,0.085436531
2.909952144,0.076783104,0.08650664
2.910440473,0.066655075,0.094855909
2.910928802,0.055671751,0.104255197
2.911417131,0.046524925,0.100705491
2.91190546,0.035548629,0.079579771
2.912393788,0.021289886,0.055942719
2.912882117,0.005159949,0.039362335
2.913370446,-0.010126555,0.018999738
2.913858775,-0.023529048,-0.015522741
2.914347104,-0.037549456,-0.054949581
2.914835433,-0.049903497,-0.077128892
2.915323762,-0.059056666,-0.075698933
2.915812091,-0.067475575,-0.067778274
2.91630042,-0.070320583,-0.064861675
2.916788749,-0.068823235,-0.063159908
2.917277078,-0.0730323,-0.060392001
2.917765407,-0.079418843,-0.05990619
2.918253736,-0.07589893,-0.061887886
2.918742065,-0.063180964,-0.061568107
2.919230394,-0.05296067,-0.056353917
2.919718723,-0.047487562,-0.049847896
2.920207051,-0.037550929,-0.047884828
2.92069538,-0.020811114,-0.05122175
2.921183709,-0.004691826,-0.053218874
2.921672038,0.008166031,-0.045945427
2.922160367,0.024708144,-0.027786086
2.922648696,0.045138853,-0.000636207
2.923137025,0.059660214,0.029957432
2.923625354,0.06893793,0.05451334
2.924113683,0.076452591,0.070697055
2.924602012,0.07753109,0.079238866
2.925090341,0.075756196,0.080715532
2.92557867,0.076901696,0.083905746
2.926066999,0.077948087,0.092722453
2.926555328,0.075386363,0.094538618
